551;42280;65082
552;41817;63933
553;41788;61874
554;42304;58625
555;43519;53814
556;45601;46936
557;48693;37504
558;52776;25293
559;57432;11061
560;61643;-3026
561;64330;-14665
562;65388;-23456
563;65516;-30504
564;65244;-36607
565;64770;-42040
566;64179;-46888
567;63539;-51213
568;62894;-55022
569;62289;-58321
570;61755;-61066
571;61338;-63224
572;61068;-64721
573;60984;-65470
574;61114;-65358
575;61479;-64265
576;62078;-62070
577;62882;-58692
578;63799;-54163
579;64677;-48655
580;65317;-42534
581;65534;-36247
582;65233;-30153
583;64437;-24444
584;63228;-19126
585;61690;-14168
586;59892;-9534
587;57886;-5177
588;55714;-1048
589;53399;0
590;52356;0
591;51784;0
592;51201;0
593;50608;0
594;50003;0
595;49388;0
596;48764;0
597;48129;0
598;47485;0
599;46830;0
600;46166;0
601;45493;0
602;44810;0
603;44117;0
604;43416;0
605;42705;0
606;41986;0
607;41258;0
608;40522;0
609;39777;0
610;39023;0
611;38262;0
612;37494;0
613;36717;0
614;35932;0
615;35140;0
616;34341;0
617;33535;0
618;32721;0
619;31902;0
620;31075;0
621;30242;0
622;29403;0
623;28558;0
624;27707;0
625;26850;0
626;25987;0
627;25119;0
628;24246;0
629;23368;0
630;22485;0
631;21598;0
632;20706;0
633;19810;0
634;18909;0
635;18005;0
636;17097;0
637;16185;0
638;15270;0
639;14352;0
640;13431;0
641;12507;0
642;11581;0
643;10652;0
644;9721;0
645;8788;0
646;7853;0
647;6916;0
648;5979;0
649;5039;0
650;4100;0
651;3158;0
652;2217;0
653;1274;0
654;332;0
655;-603;3880
656;-4588;5158
657;-6523;9628
658;-10937;10224
659;-12328;15471
660;-17254;15289
661;-18029;21354
662;-23439;20449
663;-23655;27153
664;-29330;25889
665;-29285;32694
666;-34763;31765
667;-34944;37900
668;-39677;37992
669;-40482;42920
670;-44155;44243
671;-45597;47989
672;-48304;50162
673;-50056;53106
674;-52095;55535
675;-53771;57980
676;-55357;60160
677;-56734;62088
678;-57924;63668
679;-58911;64820
680;-59697;65447
681;-60274;65455
682;-60640;64742
683;-60784;63206
684;-60685;60739
685;-60303;57222
686;-59567;52491
687;-58358;46317
688;-56477;38334
689;-53591;27946
690;-49123;14204
691;-42073;-4281
692;-30842;-28484
693;-13941;-54054
694;5077;-65505
695;13050;-63054
696;10224;-62138
697;8582;-60389
698;6279;-58759
699;4062;-56850
700;1626;-54909
701;-835;-52814
702;-3422;-50679
703;-6035;-48435
704;-8720;-46140
705;-11432;-43754
706;-14192;-41317
707;-16969;-38802
708;-19768;-36226
709;-22574;-33567
710;-25397;-30865
711;-28189;-28048
712;-31004;-25201
713;-33767;-22214
714;-36544;-19210
715;-39236;-16014
716;-41947;-12815
717;-44543;-9398
718;-47133;-5954
719;-49591;-2279
720;-52010;0
721;-53624;0
722;-54160;0
723;-54685;0
724;-55199;0
725;-55701;0
726;-56192;0
727;-56671;0
728;-57138;0
729;-57594;0
730;-58037;0
731;-58470;0
732;-58889;0
733;-59296;0
734;-59692;0
735;-60075;0
736;-60445;0
737;-60803;0
738;-61148;0
739;-61481;0
740;-61800;0
741;-62108;0
742;-62402;0
743;-62684;0
744;-62952;0
745;-63208;0
746;-63450;0
747;-63680;0
748;-63896;0
749;-64099;0
750;-64288;0
751;-64465;0
752;-64628;0
753;-64777;0
754;-64913;0
755;-65036;0
756;-65145;0
757;-65241;0
758;-65324;0
759;-65393;0
760;-65448;0
761;-65490;0
762;-65518;0
763;-65533;0
764;-65534;0
765;-65521;0
766;-65495;0
767;-65456;0
768;-65403;0
769;-65336;0
770;-65256;0
771;-65162;0
772;-65055;0
773;-64934;0
774;-64800;0
775;-64653;0
776;-64493;0
777;-64318;112
778;-64113;7947
779;-62271;18168
780;-58900;30069
781;-53685;43053
782;-46553;55239
783;-38588;63297
784;-32482;65535
785;-30114;64578
786;-29941;62791
787;-30354;60477
788;-31125;57758
789;-32171;54743
790;-33405;51466
791;-34795;47984
792;-36299;44312
793;-37900;40482
794;-39567;36498
795;-41287;32384
796;-43038;28139
797;-44814;23778
798;-46592;19306
799;-48363;14708
800;-50125;10019
801;-51846;5215
802;-53530;332
803;-55145;-4657
804;-56693;-9739
805;-58160;-14873
806;-59520;-20079
807;-60765;-25322
808;-61884;-30549
809;-62852;-35738
810;-63668;-40812
811;-64319;-45705
812;-64812;-50299
813;-65153;-54491
814;-65365;-58160
815;-65476;-61180
816;-65521;-63453
817;-65533;-64913
818;-65534;-65518
819;-65531;-65256
820;-65507;-64123
821;-65427;-62106
822;-65234;-59165
823;-64842;-55209
824;-64132;-50076
825;-62924;-43491
826;-60944;-34991
827;-57738;-23778
828;-52506;-8551
829;-43819;0
830;-37843;0
831;-37069;0
832;-36289;0
833;-35500;0
834;-34704;0
835;-33901;0
836;-33091;0
837;-32274;0
838;-31451;0
839;-30621;0
840;-29784;0
841;-28941;0
842;-28093;0
843;-27239;0
844;-26378;0
845;-25513;0
846;-24643;0
847;-23767;0
848;-22886;0
849;-22000;0
850;-21111;0
851;-20216;0
852;-19318;0
853;-18415;0
854;-17509;0
855;-16598;0
856;-15685;0
857;-14769;0
858;-13849;0
859;-12926;0
860;-12001;0
861;-11074;0
862;-10143;0
863;-9211;0
864;-8277;0
865;-7341;0
866;-6404;0
867;-5465;0
868;-4526;0
869;-3585;0
870;-2644;0
871;-1701;0
872;-759;0
873;175;1670
874;2424;12673
875;11945;33572
876;28394;56753
877;44206;65506
878;49648;64012
879;49496;62054
880;49103;59491
881;48389;56515
882;47437;53219
883;46286;49677
884;44965;45943
885;43496;42064
886;41904;38079
887;40195;34030
888;38405;29907
889;36524;25756
890;34576;21574
891;32564;17400
892;30521;13185
893;28405;9037
894;26298;4827
895;24117;721
896;21983;-3453
897;19774;-7510
898;17624;-11637
899;15398;-15582
900;13296;-19672
901;11061;-23468
902;9049;-27507
903;6835;-31136
904;4933;-35061
905;2801;-38532
906;1017;-42261
907;-960;-45552
908;-2606;-48986
909;-4356;-52033
910;-5804;-55063
911;-7229;-57755
912;-8396;-60230
913;-9385;-62333
914;-10088;-64016
915;-10466;-65141
916;-10403;-65534
917;-9776;-64921
918;-8371;-62877
919;-5835;-58675
920;-1601;-51036
921;5328;-37627
922;16623;-14683
923;34019;0
924;44001;0
925;44695;0
926;45380;0
927;46055;0
928;46721;0
929;47376;0
930;48023;0
931;48659;0
932;49285;0
933;49902;0
934;50508;0
935;51103;0
936;51687;0
937;52261;0
938;52825;0
939;53377;0
940;53918;0
941;54449;0
942;54967;0
943;55475;0
944;55971;0
945;56455;0
946;56928;0
947;57389;0
948;57838;0
949;58275;0
950;58701;0
951;59114;0
952;59514;0
953;59902;0
954;60278;0
955;60643;0
956;60993;0
957;61332;0
958;61658;0
959;61971;0
960;62271;0
961;62558;0
962;62832;0
963;63094;0
964;63342;0
965;63577;0
966;63799;0
967;64009;0
968;64204;0
969;64386;2814
970;64898;11105
971;65513;19372
972;65282;26097
973;64443;31677
974;63264;36534
975;61857;40832
976;60295;44677
977;58636;48159
978;56903;51291
979;55138;54125
980;53362;56658
981;51606;58906
982;49894;60868
983;48249;62532
984;46699;63867
985;45280;64848
986;44024;65417
987;42986;65505
988;42218;65009
989;41793;63783
990;41812;61626
991;42385;58249
992;43674;53264
993;45844;46175
994;49036;36477
995;53201;24024
996;57862;9708
997;61966;-4231
998;64488;-15594
999;65428;-24170
1000;65503;-31103
1001;65208;-37147
1002;64718;-42510
1003;64123;-47316
1004;63479;-51587
1005;62836;-55354
1006;62233;-58599
1007;61713;-61296
1008;61305;-63393
1009;61053;-64824
1010;60986;-65497
1011;61137;-65299
1012;61524;-64108
1013;62146;-61802
1014;62964;-58318
1015;63886;-53685
1016;64751;-48104
1017;65357;-41947
1018;65528;-35659
1019;65179;-29605
1020;64339;-23930
1021;63097;-18644
1022;61530;-13726
1023;59713;-9111
